theta_rad,tau_nm,cam_radius_m,spring_deflection_m,energy_j
0.10332851394803297,-1.0742112722194601,0.05149486854954379,0.0014948685495437888,0.016648008254092878
0.12929393353245056,-1.0324917707556156,0.05243019933116225,0.002430199331162241,0.04399872247940145
0.15525935311686812,-0.6038735651900926,0.052959302900637266,0.0029593029006372614,0.06524317875001481
0.1812247727012857,-0.4339883885442444,0.05325055368127679,0.003250553681276789,0.07871743929972254
0.2071901922857033,-0.30749407535943196,0.05344357959037508,0.003443579590375075,0.0883438909445959
0.23315561187012085,-0.20567527910853906,0.05357106604781263,0.0035710660478126266,0.09500621974790868
0.25912103145453846,-0.1214501784099837,0.05365001047398544,0.003650010473985435,0.09925319462851519
0.285086451038956,-0.028471233354011437,0.05368562563891299,0.003685625638912992,0.10119958080908537
0.3110518706233736,0.0,0.05369235041945097,0.0036923504194509623,0.10156921456914675
0.33701729020779114,0.02038862495249776,0.05368753596216479,0.003687535962164784,0.10130451496832628
0.3629827097922087,0.1406442569383899,0.05364928735887095,0.0036492873588709457,0.09921387179573385
0.38894812937662626,0.20105547707549556,0.0535667683813647,0.003566768381364692,0.09477768331295665
0.41491354896104393,0.2268629507044842,0.053460654059108714,0.0034606540591087145,0.0892221425503509
0.4408789685454615,0.2618686890121761,0.05333533213796701,0.003335332137967011,0.08287708150563916
0.46684438812987905,0.30019486452530403,0.05318511583566679,0.0031851158356667915,0.07557997350528445
0.4928098077142966,0.3614381833670595,0.052998661528161906,0.0029986615281619063,0.06699018365556333
0.5187752272987142,0.44301408443582685,0.05275501283985837,0.0027550128398583663,0.056546213320994236
0.5447406468831317,0.5610300434307727,0.05241669250348907,0.002416692503489065,0.04351099979033081
0.5707060664675494,0.8944147894822821,0.05181771232822874,0.0018177123282287356,0.02461538190605074
0.596671486051967,1.0015978534886787,0.05,0.0,0.0
